location,scene
"Market Guard House Child Pot 15","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 16","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 17","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 18","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 19","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 20","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 21","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 22","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 23","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 24","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 25","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 26","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 27","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 28","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 29","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 30","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 31","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 32","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 33","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 34","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 35","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 36","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 37","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 38","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 39","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 40","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 41","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 42","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 43","OOT_GUARD_HOUSE"
"Market Guard House Child Pot 44","OOT_GUARD_HOUSE"
"Market Guard House Adult Pot 1","OOT_GUARD_HOUSE"
"Market Guard House Adult Pot 2","OOT_GUARD_HOUSE"
"Market Guard House Adult Pot 3","OOT_GUARD_HOUSE"
"Market Guard House Adult Pot 4","OOT_GUARD_HOUSE"
"Market Guard House Adult Pot 5","OOT_GUARD_HOUSE"
"Market Guard House Adult Pot 6","OOT_GUARD_HOUSE"
"Market Guard House Adult Pot 7","OOT_GUARD_HOUSE"
"Market Guard House Adult Pot 8","OOT_GUARD_HOUSE"
"Market Guard House Adult Pot 9","OOT_GUARD_HOUSE"
"Market Guard House Adult Pot 10","OOT_GUARD_HOUSE"
"Market Guard House Adult Pot 11","OOT_GUARD_HOUSE"
"Market Man in Green House Pot 1","OOT_BACK_ALLEY_HOUSE"
"Market Man in Green House Pot 2","OOT_BACK_ALLEY_HOUSE"
"Market Man in Green House Pot 3","OOT_BACK_ALLEY_HOUSE"
"Market Child Grass 1","OOT_MARKET_CHILD_DAY"
"Market Child Grass 2","OOT_MARKET_CHILD_DAY"
"Market Child Grass 3","OOT_MARKET_CHILD_DAY"
"Market Child Grass 4","OOT_MARKET_CHILD_DAY"
"Market Child Grass 5","OOT_MARKET_CHILD_DAY"
"Market Child Grass 6","OOT_MARKET_CHILD_DAY"
"Market Child Grass 7","OOT_MARKET_CHILD_DAY"
"Market Child Grass 8","OOT_MARKET_CHILD_DAY"
"Market Night Red Rupee Crate","OOT_MARKET_CHILD_NIGHT"
"Market Night Green Rupee Crate 1","OOT_MARKET_CHILD_NIGHT"
"Market Night Green Rupee Crate 2","OOT_MARKET_CHILD_NIGHT"
"Market Night Green Rupee Crate 3","OOT_MARKET_CHILD_NIGHT"
"Market Day Crate 1","OOT_MARKET_CHILD_DAY"
"Market Day Crate 2","OOT_MARKET_CHILD_DAY"
"Market Day Crate 3","OOT_MARKET_CHILD_DAY"
"Market Day Crate 4","OOT_MARKET_CHILD_DAY"
"Market Dog Lady House Crate","OOT_BACK_ALLEY_HOUSE2"
"Market Guard House Child Crate 1","OOT_GUARD_HOUSE"
"Market Guard House Child Crate 2","OOT_GUARD_HOUSE"
"Market Guard House Child Crate 3","OOT_GUARD_HOUSE"
"Market Guard House Child Crate 4","OOT_GUARD_HOUSE"
"Market Daytime Balcony Wonderitem 1","OOT_MARKET_CHILD_DAY"
"Market Daytime Balcony Wonderitem 2","OOT_MARKET_CHILD_DAY"
"Market Daytime Balcony Wonderitem 3","OOT_MARKET_CHILD_DAY"
"Market Daytime Balcony Wonderitem 4","OOT_MARKET_CHILD_DAY"
"Market Daytime Balcony Wonderitem 5","OOT_MARKET_CHILD_DAY"
"Market Night Balcony Wonderitem 1","OOT_MARKET_CHILD_NIGHT"
"Market Night Balcony Wonderitem 2","OOT_MARKET_CHILD_NIGHT"
"Market Adult ReDead 1","OOT_MARKET_ADULT"
"Market Adult ReDead 2","OOT_MARKET_ADULT"
"Market Adult ReDead 3","OOT_MARKET_ADULT"
"Market Adult ReDead 4","OOT_MARKET_ADULT"
"Market Adult ReDead 5","OOT_MARKET_ADULT"
"Market Adult ReDead 6","OOT_MARKET_ADULT"
"Market Adult ReDead 7","OOT_MARKET_ADULT"
"Market Adult ReDead 8","OOT_MARKET_ADULT"
"Market Child Butterfly Fairy 1","OOT_MARKET_CHILD_DAY"
"Market Child Butterfly Fairy 2","OOT_MARKET_CHILD_DAY"
"Market Child Butterfly Fairy 3","OOT_MARKET_CHILD_DAY"
"ToT Light Arrows Cutscene","UNKNOWN"
"ToT Gossip Stone (Left) Fairy Spawn","OOT_TEMPLE_OF_TIME_EXTERIOR_CHILD_DAY"
"ToT Gossip Stone (Left) Big Fairy Spawn","OOT_TEMPLE_OF_TIME_EXTERIOR_CHILD_DAY"
"ToT Gossip Stone (Left-Center) Fairy Spawn","OOT_TEMPLE_OF_TIME_EXTERIOR_CHILD_DAY"
"ToT Gossip Stone (Left-Center) Big Fairy Spawn","OOT_TEMPLE_OF_TIME_EXTERIOR_CHILD_DAY"
"ToT Gossip Stone (Right) Fairy Spawn","OOT_TEMPLE_OF_TIME_EXTERIOR_CHILD_DAY"
"ToT Gossip Stone (Right) Big Fairy Spawn","OOT_TEMPLE_OF_TIME_EXTERIOR_CHILD_DAY"
"ToT Gossip Stone (Right-Center) Fairy Spawn","OOT_TEMPLE_OF_TIME_EXTERIOR_CHILD_DAY"
"ToT Gossip Stone (Right-Center) Big Fairy Spawn","OOT_TEMPLE_OF_TIME_EXTERIOR_CHILD_DAY"
"HC Malon Egg","OOT_HYRULE_CASTLE"
"HC Zeldas Letter","OOT_CASTLE_COURTYARD"
"HC Great Fairy Reward","UNKNOWN"
"HC GS Tree","OOT_GANON_TOWER_COLLAPSING"
"HC GS Storms Grotto","OOT_GANON_TOWER_COLLAPSING"
"HC Storms Grotto Pot 1","OOT_GROTTOS"
"HC Storms Grotto Pot 2","OOT_GROTTOS"
"HC Storms Grotto Pot 3","OOT_GROTTOS"
"HC Storms Grotto Pot 4","OOT_GROTTOS"
"Hyrule Castle Grass 1","OOT_HYRULE_CASTLE"
"Hyrule Castle Grass 2","OOT_HYRULE_CASTLE"
"HC Castle Torch Wonderitem 1","OOT_HYRULE_CASTLE"
"HC Castle Torch Wonderitem 2","OOT_HYRULE_CASTLE"
"HC Castle Moat Wonderitem 1","OOT_HYRULE_CASTLE"
"HC Castle Moat Wonderitem 2","OOT_HYRULE_CASTLE"
"HC Castle Moat Wonderitem 3","OOT_HYRULE_CASTLE"
"HC Castle Moat Wonderitem 4","OOT_HYRULE_CASTLE"
"HC Castle Moat Wonderitem 5","OOT_HYRULE_CASTLE"
"HC Castle Moat Wonderitem 6","OOT_HYRULE_CASTLE"
"HC Castle Moat Wonderitem 7","OOT_HYRULE_CASTLE"
"HC Castle Moat Wonderitem 8","OOT_HYRULE_CASTLE"
"HC Castle Moat Wonderitem 9","OOT_HYRULE_CASTLE"
"HC Castle Moat Wonderitem 10","OOT_HYRULE_CASTLE"
"HC Zeldas Courtyard Mario Wonderitem","OOT_CASTLE_COURTYARD"
"HC Malon Gossip Stone Fairy Spawn","OOT_HYRULE_CASTLE"
"HC Malon Gossip Stone Big Fairy Spawn","OOT_HYRULE_CASTLE"
"HC Rock Wall Gossip Stone Fairy Spawn","OOT_HYRULE_CASTLE"
"HC Rock Wall Gossip Stone Big Fairy Spawn","OOT_HYRULE_CASTLE"
"HC Storms Grotto Gossip Stone Fairy Spawn","OOT_GROTTOS"
"HC Storms Grotto Gossip Stone Big Fairy Spawn","OOT_GROTTOS"
"HC Storms Grotto Skullwalltula 1","OOT_GROTTOS"
"HC Storms Grotto Skullwalltula 2","OOT_GROTTOS"
"HC Butterfly Fairy 1","OOT_HYRULE_CASTLE"
"HC Butterfly Fairy 2","OOT_HYRULE_CASTLE"
"HC Butterfly Fairy 3","OOT_HYRULE_CASTLE"
"HC Butterfly Fairy 4","OOT_HYRULE_CASTLE"
"HC Butterfly Fairy 5","OOT_HYRULE_CASTLE"
"HC Butterfly Fairy 6","OOT_HYRULE_CASTLE"
"HC Butterfly Fairy 7","OOT_HYRULE_CASTLE"
"HC Butterfly Fairy 8","OOT_HYRULE_CASTLE"
"HC Butterfly Fairy 9","OOT_HYRULE_CASTLE"
"HC Butterfly Fairy 10","OOT_HYRULE_CASTLE"
"HC Butterfly Fairy 11","OOT_HYRULE_CASTLE"
"HC Butterfly Fairy 12","OOT_HYRULE_CASTLE"
"LLR Talons Chickens","OOT_RANCH_HOUSE_SILO"
"LLR Freestanding PoH","OOT_RANCH_HOUSE_SILO"
"LLR Deku Scrub Grotto Left","UNKNOWN"
"LLR Deku Scrub Grotto Center","UNKNOWN"
"LLR Deku Scrub Grotto Right","UNKNOWN"
"LLR Stables Left Cow","OOT_STABLE"
"LLR Stables Right Cow","OOT_STABLE"
"LLR Tower Left Cow","OOT_RANCH_HOUSE_SILO"
"LLR Tower Right Cow","OOT_RANCH_HOUSE_SILO"
"LLR GS House Window","OOT_GERUDO_TRAINING_GROUND"
"LLR GS Tree","OOT_GERUDO_TRAINING_GROUND"
"LLR GS Rain Shed","OOT_GERUDO_TRAINING_GROUND"
"LLR GS Back Wall","OOT_GERUDO_TRAINING_GROUND"
"LLR Front Pot 1","OOT_LON_LON_RANCH"
"LLR Front Pot 2","OOT_LON_LON_RANCH"
"LLR Front Pot 3","OOT_LON_LON_RANCH"
"LLR Front Pot 4","OOT_LON_LON_RANCH"
"LLR Rain Shed Pot 1","OOT_LON_LON_RANCH"
"LLR Rain Shed Pot 2","OOT_LON_LON_RANCH"
"LLR Rain Shed Pot 3","OOT_LON_LON_RANCH"
"LLR Talons House Pot 1","OOT_RANCH_HOUSE_SILO"
"LLR Talons House Pot 2","OOT_RANCH_HOUSE_SILO"
"LLR Talons House Pot 3","OOT_RANCH_HOUSE_SILO"
"LLR Child Crate","OOT_LON_LON_RANCH"
"LLR Grotto Beehive","OOT_GROTTOS"
"LLR Epona Hurdle Wonderitem 1","OOT_LON_LON_RANCH"
"LLR Epona Hurdle Wonderitem 2","OOT_LON_LON_RANCH"
"LLR Child Night Guay 1","OOT_LON_LON_RANCH"
"LLR Child Night Guay 2","OOT_LON_LON_RANCH"
"LLR Child Night Guay 3","OOT_LON_LON_RANCH"
"LLR Child Night Guay 4","OOT_LON_LON_RANCH"
"LLR Child Night Guay 5","OOT_LON_LON_RANCH"
"LLR Child Night Guay 6","OOT_LON_LON_RANCH"
"LLR Child Night Guay 7","OOT_LON_LON_RANCH"
"LLR Child Night Guay 8","OOT_LON_LON_RANCH"
"LLR Child Night Guay 9","OOT_LON_LON_RANCH"
"LLR Child Night Guay 10","OOT_LON_LON_RANCH"
"LLR Child Night Guay 11","OOT_LON_LON_RANCH"
"LLR Child Night Guay 12","OOT_LON_LON_RANCH"
"LLR Child Night Guay 13","OOT_LON_LON_RANCH"
"LLR Child Night Guay 14","OOT_LON_LON_RANCH"
"LLR Child Night Guay 15","OOT_LON_LON_RANCH"
"Kak Anju as Child","OOT_KAKARIKO_VILLAGE"
"Kak Anju as Adult","OOT_KAKARIKO_VILLAGE"
"Kak Anju Trade Pocket Cucco","OOT_KAKARIKO_VILLAGE"
"Kak Granny Trade Odd Mushroom","OOT_GRANNY_POTION_SHOP"
"Kak Granny Buy Blue Potion","OOT_GRANNY_POTION_SHOP"
"Kak Impas House Freestanding PoH","OOT_IMPA_HOUSE"
"Kak Windmill Freestanding PoH","OOT_TOMB_DAMPE_WINDMILL"
"Kak Man on Roof","OOT_KAKARIKO_VILLAGE"
"Kak Open Grotto Chest","OOT_GROTTOS"
"Kak ReDead Grotto Chest","OOT_GROTTOS"
"Kak Shooting Gallery Reward","OOT_SHOOTING_GALLERY"
"Kak 10 Gold Skulltula Reward","OOT_HOUSE_OF_SKULLTULA"
"Kak 20 Gold Skulltula Reward","OOT_HOUSE_OF_SKULLTULA"
"Kak 30 Gold Skulltula Reward","OOT_HOUSE_OF_SKULLTULA"
"Kak 40 Gold Skulltula Reward","OOT_HOUSE_OF_SKULLTULA"
"Kak 50 Gold Skulltula Reward","OOT_HOUSE_OF_SKULLTULA"
"Kak Impas House Cow","OOT_IMPA_HOUSE"
"Kak GS Tree","OOT_TREASURE_SHOP"
"Kak GS Near Gate Guard","OOT_TREASURE_SHOP"
"Kak GS Watchtower","OOT_TREASURE_SHOP"
"Kak GS Skulltula House","OOT_TREASURE_SHOP"
"Kak GS House Under Construction","OOT_TREASURE_SHOP"
"Kak GS Above Impas House","OOT_TREASURE_SHOP"
"Kak Bazaar Item 1","OOT_BAZAAR"
"Kak Bazaar Item 2","OOT_BAZAAR"
"Kak Bazaar Item 3","OOT_BAZAAR"
"Kak Bazaar Item 4","OOT_BAZAAR"
"Kak Bazaar Item 5","OOT_BAZAAR"
"Kak Bazaar Item 6","OOT_BAZAAR"
"Kak Bazaar Item 7","OOT_BAZAAR"
"Kak Bazaar Item 8","OOT_BAZAAR"
"Kak Potion Shop Item 1","OOT_KAKARIKO_POTION_SHOP"
"Kak Potion Shop Item 2","OOT_KAKARIKO_POTION_SHOP"
"Kak Potion Shop Item 3","OOT_KAKARIKO_POTION_SHOP"
"Kak Potion Shop Item 4","OOT_KAKARIKO_POTION_SHOP"
"Kak Potion Shop Item 5","OOT_KAKARIKO_POTION_SHOP"
"Kak Potion Shop Item 6","OOT_KAKARIKO_POTION_SHOP"
"Kak Potion Shop Item 7","OOT_KAKARIKO_POTION_SHOP"
"Kak Potion Shop Item 8","OOT_KAKARIKO_POTION_SHOP"
"Kak Near Potion Shop Pot 1","OOT_KAKARIKO_VILLAGE"
"Kak Near Potion Shop Pot 2","OOT_KAKARIKO_VILLAGE"
"Kak Near Potion Shop Pot 3","OOT_KAKARIKO_VILLAGE"
"Kak Near Impas House Pot 1","OOT_KAKARIKO_VILLAGE"
"Kak Near Impas House Pot 2","OOT_KAKARIKO_VILLAGE"
"Kak Near Impas House Pot 3","OOT_KAKARIKO_VILLAGE"
"Kak Near Guards House Pot 1","OOT_KAKARIKO_VILLAGE"
"Kak Near Guards House Pot 2","OOT_KAKARIKO_VILLAGE"
"Kak Near Guards House Pot 3","OOT_KAKARIKO_VILLAGE"
"Kak Near Odd Medicine Building Pot 1","OOT_KAKARIKO_VILLAGE"
"Kak Near Odd Medicine Building Pot 2","OOT_KAKARIKO_VILLAGE"
"Kak Adult Crate 1","OOT_KAKARIKO_VILLAGE"
"Kak Adult Crate 2","OOT_KAKARIKO_VILLAGE"
"Kak Adult Arrows Crate","OOT_KAKARIKO_VILLAGE"
"Kak Adult Crate 3","OOT_KAKARIKO_VILLAGE"
"Kak Adult Crate 4","OOT_KAKARIKO_VILLAGE"
"Kak Adult Crate 5","OOT_KAKARIKO_VILLAGE"
"Kak Adult Crate 6","OOT_KAKARIKO_VILLAGE"
"Kak Adult Crate 7","OOT_KAKARIKO_VILLAGE"
"Kak Adult Crate 8","OOT_KAKARIKO_VILLAGE"
"Kak Adult Backyard Crate 1","OOT_KAKARIKO_VILLAGE"
"Kak Adult Backyard Crate 2","OOT_KAKARIKO_VILLAGE"
"Kak Adult Red Rupee Crate","OOT_KAKARIKO_VILLAGE"
"Kak Adult Backyard Crate 3","OOT_KAKARIKO_VILLAGE"
"Kak Child Crate 1","OOT_KAKARIKO_VILLAGE"
"Kak Child Crate 2","OOT_KAKARIKO_VILLAGE"
"Kak Child Crate 3","OOT_KAKARIKO_VILLAGE"
"Kak Child Crate 4","OOT_KAKARIKO_VILLAGE"
"Kak Child Crate 5","OOT_KAKARIKO_VILLAGE"
"Kak Open Grotto Beehive 1","OOT_GROTTOS"
"Kak Open Grotto Beehive 2","OOT_GROTTOS"
"Kak Child Construction Wonderitem","OOT_KAKARIKO_VILLAGE"
"Kak Impas House Wonderitem","OOT_IMPA_HOUSE"
"Kak ReDead Grotto ReDead Left","OOT_GROTTOS"
"Kak ReDead Grotto ReDead Right","OOT_GROTTOS"
"Kak Open Grotto Grass 1","OOT_GROTTOS"
"Kak Open Grotto Grass 2","OOT_GROTTOS"
"Kak Open Grotto Grass 3","OOT_GROTTOS"
"Kak Open Grotto Grass 4","OOT_GROTTOS"
"Kak Grass 1","OOT_KAKARIKO_VILLAGE"
"Kak Grass 2","OOT_KAKARIKO_VILLAGE"
"Kak Grass 3","OOT_KAKARIKO_VILLAGE"
"Kak Grass 4","OOT_KAKARIKO_VILLAGE"
"Kak Grass 5","OOT_KAKARIKO_VILLAGE"
"Kak Grass 6","OOT_KAKARIKO_VILLAGE"
"Kak Grass 7","OOT_KAKARIKO_VILLAGE"
"Kak Grass 8","OOT_KAKARIKO_VILLAGE"
"Kak Open Grotto Gossip Stone Fairy Spawn","OOT_GROTTOS"
"Kak Open Grotto Gossip Stone Big Fairy Spawn","OOT_GROTTOS"
"Kak Child Butterfly Fairy 1","OOT_KAKARIKO_VILLAGE"
"Kak Child Butterfly Fairy 2","OOT_KAKARIKO_VILLAGE"
"Kak Open Grotto Butterfly Fairy 1","OOT_GROTTOS"
"Kak Open Grotto Butterfly Fairy 2","OOT_GROTTOS"
"Kak Open Grotto Butterfly Fairy 3","OOT_GROTTOS"
"Graveyard Shield Grave Chest","OOT_TOMB_FAIRY"
"Graveyard Heart Piece Grave Chest","OOT_TOMB_REDEAD"
"Graveyard Royal Familys Tomb Chest","OOT_TOMB_ROYAL"
"Graveyard Freestanding PoH","OOT_GRAVEYARD"
"Graveyard Dampe Gravedigging Tour","OOT_GRAVEYARD"
"Graveyard Dampe Race Hookshot Chest","OOT_TOMB_DAMPE_WINDMILL"
"Graveyard Dampe Race Freestanding PoH","OOT_TOMB_DAMPE_WINDMILL"
"Graveyard GS Bean Patch","OOT_TREASURE_SHOP"
"Graveyard GS Wall","OOT_TREASURE_SHOP"
"Graveyard Dampe Race Rupee 1","OOT_TOMB_DAMPE_WINDMILL"
"Graveyard Dampe Race Rupee 2","OOT_TOMB_DAMPE_WINDMILL"
"Graveyard Dampe Race Rupee 3","OOT_TOMB_DAMPE_WINDMILL"
"Graveyard Dampe Race Rupee 4","OOT_TOMB_DAMPE_WINDMILL"
"Graveyard Dampe Race Rupee 5","OOT_TOMB_DAMPE_WINDMILL"
"Graveyard Dampe Race Rupee 6","OOT_TOMB_DAMPE_WINDMILL"
"Graveyard Dampe Race Rupee 7","OOT_TOMB_DAMPE_WINDMILL"
"Graveyard Dampe Race Rupee 8","OOT_TOMB_DAMPE_WINDMILL"
"Graveyard Dampe Pot 1","OOT_TOMB_DAMPE_WINDMILL"
"Graveyard Dampe Pot 2","OOT_TOMB_DAMPE_WINDMILL"
"Graveyard Dampe Pot 3","OOT_TOMB_DAMPE_WINDMILL"
"Graveyard Dampe Pot 4","OOT_TOMB_DAMPE_WINDMILL"
"Graveyard Dampe Pot 5","OOT_TOMB_DAMPE_WINDMILL"
"Graveyard Dampe Pot 6","OOT_TOMB_DAMPE_WINDMILL"
"Graveyard Grass Patch 1","OOT_GRAVEYARD"
"Graveyard Grass Patch 2","OOT_GRAVEYARD"
"Graveyard Grass Patch 3","OOT_GRAVEYARD"
"Graveyard Grass Patch 4","OOT_GRAVEYARD"
"Graveyard Grass Patch 5","OOT_GRAVEYARD"
"Graveyard Grass Patch 6","OOT_GRAVEYARD"
"Graveyard Grass Patch 7","OOT_GRAVEYARD"
"Graveyard Grass Patch 8","OOT_GRAVEYARD"
"Graveyard Grass Patch 9","OOT_GRAVEYARD"
"Graveyard Grass Patch 10","OOT_GRAVEYARD"
"Graveyard Grass Patch 11","OOT_GRAVEYARD"
"Graveyard Grass Patch 12","OOT_GRAVEYARD"
"Graveyard Freestanding PoH Crate","OOT_GRAVEYARD"
"Graveyard Gossip Stone Fairy Spawn","OOT_GRAVEYARD"
"Graveyard Gossip Stone Big Fairy Spawn","OOT_GRAVEYARD"
"Graveyard Dampe Race Wonderitem 1","OOT_TOMB_DAMPE_WINDMILL"
"Graveyard Dampe Race Wonderitem 2","OOT_TOMB_DAMPE_WINDMILL"
"Graveyard Dampe Race Wonderitem 3","OOT_TOMB_DAMPE_WINDMILL"
"Graveyard Dampe Race Wonderitem 4","OOT_TOMB_DAMPE_WINDMILL"
"Graveyard Dampe Race Wonderitem 5","OOT_TOMB_DAMPE_WINDMILL"
"Graveyard Dampe Race Wonderitem 6","OOT_TOMB_DAMPE_WINDMILL"
"Graveyard Dampe Race Wonderitem 7","OOT_TOMB_DAMPE_WINDMILL"
"Graveyard Dampe Race Wonderitem 8","OOT_TOMB_DAMPE_WINDMILL"
"Graveyard Dampe Race Wonderitem 9","OOT_TOMB_DAMPE_WINDMILL"
"Graveyard Dampe Race Wonderitem 10","OOT_TOMB_DAMPE_WINDMILL"
"Graveyard Dampe Race Wonderitem 11","OOT_TOMB_DAMPE_WINDMILL"
"Graveyard Dampe Race Wonderitem 12","OOT_TOMB_DAMPE_WINDMILL"
"Graveyard Dampe Race Wonderitem 13","OOT_TOMB_DAMPE_WINDMILL"
"Graveyard Dampe Race Wonderitem 14","OOT_TOMB_DAMPE_WINDMILL"
"Graveyard Dampe Race Wonderitem 15","OOT_TOMB_DAMPE_WINDMILL"
"Graveyard Heart Piece Grave ReDead","OOT_TOMB_REDEAD"
"Graveyard Royal Familys Tomb Keese 1","OOT_TOMB_ROYAL"
"Graveyard Royal Familys Tomb Keese 2","OOT_TOMB_ROYAL"
"Graveyard Royal Familys Tomb Keese 3","OOT_TOMB_ROYAL"
"Graveyard Royal Familys Tomb Keese 4","OOT_TOMB_ROYAL"
"Graveyard Royal Familys Tomb ReDead 1","OOT_TOMB_ROYAL"
"Graveyard Royal Familys Tomb ReDead 2","OOT_TOMB_ROYAL"
"Graveyard Royal Familys Tomb ReDead 3","OOT_TOMB_ROYAL"
"Graveyard Dampe Race ReDead 1","OOT_TOMB_DAMPE_WINDMILL"
"Graveyard Dampe Race ReDead 2","OOT_TOMB_DAMPE_WINDMILL"
"Graveyard Dampe Race ReDead 3","OOT_TOMB_DAMPE_WINDMILL"
"Graveyard Dampe Race ReDead 4","OOT_TOMB_DAMPE_WINDMILL"
"Graveyard Child Fairy 1","OOT_GRAVEYARD"
"Graveyard Child Fairy 2","OOT_GRAVEYARD"
"Graveyard Child Fairy 3","OOT_GRAVEYARD"
"Graveyard Fairy Fountain Fairy 1","OOT_TOMB_FAIRY"
"Graveyard Fairy Fountain Fairy 2","OOT_TOMB_FAIRY"
"Graveyard Fairy Fountain Fairy 3","OOT_TOMB_FAIRY"
"Graveyard Fairy Fountain Fairy 4","OOT_TOMB_FAIRY"
"Graveyard Fairy Fountain Fairy 5","OOT_TOMB_FAIRY"
"Graveyard Fairy Fountain Fairy 6","OOT_TOMB_FAIRY"
"Graveyard Fairy Fountain Fairy 7","OOT_TOMB_FAIRY"
"Graveyard Fairy Fountain Fairy 8","OOT_TOMB_FAIRY"
"Graveyard Royal Familys Tomb Suns Song Fairy","OOT_TOMB_ROYAL"
"DMT Freestanding PoH","OOT_DEATH_MOUNTAIN_TRAIL"
"DMT Chest","OOT_DEATH_MOUNTAIN_TRAIL"
"DMT Storms Grotto Chest","OOT_GROTTOS"
"DMT Great Fairy Reward","UNKNOWN"
"DMT Biggoron","OOT_DEATH_MOUNTAIN_TRAIL"
"DMT Trade Broken Sword","OOT_DEATH_MOUNTAIN_TRAIL"
"DMT Trade Eyedrops","OOT_DEATH_MOUNTAIN_TRAIL"
"DMT Cow Grotto Cow","OOT_GROTTOS"
"DMT GS Near Kak","OOT_INSIDE_GANON_CASTLE_COLLAPSING"
"DMT GS Bean Patch","OOT_INSIDE_GANON_CASTLE_COLLAPSING"
"DMT GS Above Dodongos Cavern","OOT_INSIDE_GANON_CASTLE_COLLAPSING"
"DMT GS Falling Rocks Path","OOT_INSIDE_GANON_CASTLE_COLLAPSING"
"DMT Rock Red Rupee","OOT_DEATH_MOUNTAIN_TRAIL"
"DMT Rock Blue Rupee","OOT_DEATH_MOUNTAIN_TRAIL"
"DMT Cow Grotto Green Rupee 1","OOT_GROTTOS"
"DMT Cow Grotto Green Rupee 2","OOT_GROTTOS"
"DMT Cow Grotto Green Rupee 3","OOT_GROTTOS"
"DMT Cow Grotto Green Rupee 4","OOT_GROTTOS"
"DMT Cow Grotto Green Rupee 5","OOT_GROTTOS"
"DMT Cow Grotto Green Rupee 6","OOT_GROTTOS"
"DMT Cow Grotto Red Rupee","OOT_GROTTOS"
"DMT Cow Grotto Recovery Heart 1","OOT_GROTTOS"
"DMT Cow Grotto Recovery Heart 2","OOT_GROTTOS"
"DMT Cow Grotto Recovery Heart 3","OOT_GROTTOS"
"DMT Cow Grotto Recovery Heart 4","OOT_GROTTOS"
"DMT Cow Grotto Beehive","OOT_GROTTOS"
"DMT Storms Grotto Beehive 1","OOT_GROTTOS"
"DMT Storms Grotto Beehive 2","OOT_GROTTOS"
"DMT Adult First Tektite","OOT_DEATH_MOUNTAIN_TRAIL"
"DMT Adult Second Tektite","OOT_DEATH_MOUNTAIN_TRAIL"
"DMT Adult Summit Tektite","OOT_DEATH_MOUNTAIN_TRAIL"
"DMT Adult Summit Skullwalltula Lower","OOT_DEATH_MOUNTAIN_TRAIL"
"DMT Adult Summit Skullwalltula Middle","OOT_DEATH_MOUNTAIN_TRAIL"
"DMT Adult Summit Skullwalltula Upper","OOT_DEATH_MOUNTAIN_TRAIL"
"DMT Child First Tektite","OOT_DEATH_MOUNTAIN_TRAIL"
"DMT Child Second Tektite","OOT_DEATH_MOUNTAIN_TRAIL"
"DMT Child Third Tektite","OOT_DEATH_MOUNTAIN_TRAIL"
"DMT Child Near DC Tektite","OOT_DEATH_MOUNTAIN_TRAIL"
"DMT Child Summit Skullwalltula Lower","OOT_DEATH_MOUNTAIN_TRAIL"
"DMT Child Summit Skullwalltula Middle","OOT_DEATH_MOUNTAIN_TRAIL"
"DMT Child Summit Skullwalltula Upper","OOT_DEATH_MOUNTAIN_TRAIL"
"DMT Storms Grotto Grass 1","OOT_GROTTOS"
"DMT Storms Grotto Grass 2","OOT_GROTTOS"
"DMT Storms Grotto Grass 3","OOT_GROTTOS"
"DMT Storms Grotto Grass 4","OOT_GROTTOS"
"DMT Cow Grotto Grass 1","OOT_GROTTOS"
"DMT Cow Grotto Grass 2","OOT_GROTTOS"
"DMT Suns Song Fairy","OOT_DEATH_MOUNTAIN_TRAIL"
"DMT Storms Grotto Butterfly Fairy 1","OOT_GROTTOS"
"DMT Storms Grotto Butterfly Fairy 2","OOT_GROTTOS"
"DMT Storms Grotto Butterfly Fairy 3","OOT_GROTTOS"
"DMT Storms Grotto Gossip Stone Fairy Spawn","OOT_GROTTOS"
"DMT Storms Grotto Gossip Stone Big Fairy Spawn","OOT_GROTTOS"
"DMT Cow Grotto Song of Storms Fairy","OOT_GROTTOS"
"DMT Gossip Stone Fairy Spawn","OOT_DEATH_MOUNTAIN_TRAIL"
"DMT Gossip Stone Big Fairy Spawn","OOT_DEATH_MOUNTAIN_TRAIL"
"GC Darunias Joy","OOT_GORON_CITY"
